questions_title,questions_optiona,questions_optionb,questions_optionc,questions_optiond,questions_answer
"Consider the first-order logic sentence s t u v w x y s t u v w x y ( , , , , , , ) where  (s t u v w x y , , , , , , ) is a quantifier-free-order logic formula using only predicate symbols and possibly equality, but no function symbols. Suppose φ has a model with a universe containing 7 elements. Which one of the following statements is necessarily true",There exists at least one model of φ with universe of size less than or equal to 3.,There exists no model of φ with universe of size less than or equal to 3.,There exists no model of φ with universe of size greater than 7.,Every model of φ has a universe of size equal to 7,B
"Consider the following C program: #include void fun 1 (char *s1, char *s2) { char *tmp; tmp = s1; s1 = s2; s2 = tmp; } www.gradeup.co 21 Void fun2 (char **s1, char **s2) { char *tmp; tmp = s1; s1 = s2; s2 = tmp; } int main () { char *str1 = “Hi”, *str2 = “Bye”; fun1 (str1, str2); printf(“%s %s”, str1, str2); fun2 (&str1, &str2); printf(“%s %s”, str1, str2); return 0; } The output of the program above i",Hi Bye Bye H,Hi Bye Hi Bye,Bye Hi Hi Bye,Bye Hi Bye Hi,A
"The number of possible min-heaps containing each value from {1, 2, 3, 4, 5, 6, 7} exactly once is _______.",80,30,50,10,A
"Let N be the set of natural numbers. Consider the following sets: P. Set of rational numbers (positive and negative). Q. Set of functions from {0, 1} to N. R. Set of functions from N to {0, 1}. S. Set of finite subsets of N. Which of the sets above are countable?",Q and S only,P and S only,P and R onl,"P, Q and S only",D
Consider the unsigned 8-bit fixed point binary number representation below : 7 6 5 4 3 2 1 0 b b b b b b b b . Where the position of the binary point is between b3 and 2 b . Assume b7 is the most significant bit. Some of the decimal numbers listed below cannot be represented exactly in the above representation:,31.5,0.875,12.1,3,C
"Given a language L, define i L as follows:   0 1 . for all 0 i i L L L L i − =  =  The order of a language L is defined as the smallest k such that 1 . k k L L + = Consider the language 1L (over alphabet 0) accepted by the following automaton.",1,2,3,4,C
"A lexical analyzer uses the following patterns to recognize three tokens 1 2 T T, and T3 over the alphabet {a, b, c}. ( ) ( ) ( ) * 1 * 2 * 3 : ? | : ? | : ? | T a b c a T b a c b T c b a c Note that ‘x?’ means 0 or 1 occurrence of the symbol x. Note also that the analyzer outputs the token that matches the longest possible prefix. If the string bbaacabc is processed by the analyzer, which one of the following is the sequence of tokens it outputs?",T T T 1 2 3,TTT 1 1 3,T T T 2 1 3,TT3 3,D
"Given below are two statements 1 and 2. and two conclusions I and II.
Statement 1: All bacteria are microorganisms.
Statement 2: All pathogens are microorganisms.
Conclusion I: Some pathogens are bacteria.
Conclusion II: All pathogens are not bacteria.
Based oil the above statements and conclusions, which one of the following options is logically
CORRECT?
Options
", Only conclusion I correct, Only conclusion II is collect,Either conclusion I or II is correct., Neither conclusion I nor II is correct,D
"The Ratio of boys to girls in class 7 to 3, among the options below, An acceptable value for total number of students in class is :",21,73,37,50,D
"_____ is to surgery as writer is to _____
Which maintain similar logic relation.
","Doctor, Book"," Hospital, Library","Medicine, grammar","Plan, outline",A
"Detail of prices of two item P and Q are presented in the above table. The ratio of cost of item P to cost of item Q is 3 : 4. Discount is calculated as difference between marked and selling price. The profit percentage is calculated as ratio of difference between selling price and cost, to the cost price.
Profit % = Selling Price − Cost Price ×100/coast price
The discount on Q, as a % marked price is ______.
 
  
",25,12.5,10,25,C
"We have 2 rectangular sheets of paper, M and N, of Dimension 6 cm×1 cm each. Sheet M is rolled to form an open cylinder by bringing short edges of the sheet together. Sheet and N is cut into equal square patches and assembled to form largest possible closed cube. Assuming the ends of the cylinder are closed, ratio of the volume of the cylinder to that of the cube is _______."," 9 / π
", 3π,"π/2
","(D) 3/π
",A
"



A circular sheet of paper is folded along the lines in the directions shown. The paper, after being punched in the final folded state as shown and unfolded in the reverse order of folding, will look like________.",21,73,37,50,A
"A polygon is convex if. for every pair of points, P and Q belonging to the polygon, the line segment PQ
lies completely inside or on the polygon. 
Which one of the following is NOT a convex polygon?
",25,12.5,10,25,C
"Some people suggest Anti Obesity Measures (AOM) such as displaying calorie information in restaurant menus. Such measures sidestep addressing the core problems that cause obesity, poverty and income inequality.Which of the following statements summarize this page",AOM addressing the core problem and are likely to succeed,"The Proposed AOM are addressing the core problem that causes obesity.

", AOM addressing the problem superficially,"If Obesity reduces, poverty will naturally reduce, since obesity causes poverty",C
"Consider the following sentences:
(i) Everybody in the class is prepared for the exam.
(ii) Babu invited Danish to his home because he enjoys playing chess
Which of the following is the CORRECT observation about the above two sentences?
", (i) is grammatically incorrect and (ii) is unambiguous,(i) is grammatically correct and (ii) is unambiguous,"(i) is grammatically correct and (ii) is ambiguous

",(i) is grammatically incorrect and (ii) is ambiguous,C
There are five bags each containing identical sets of ten distinct chocolates. One chocolate is. picked from each bag. The probability that at least two chocolates are identical is___________. Options :,0.8125,0.6976,0.3024,0.4235,B
"Consider the following sentences: (i)
Everybody in the class is prepared for the exam.
(ii)
Babu invited Danish to his home because he enjoys playing chess.
Which of the following is the CORRECT observation about the above two
sentences?
",(i) is grammatically correct and (ii) is unambiguous,i) is grammatically incorrect and (ii) is unambiguous,(i) is grammatically correct and (ii) is ambiguous,(i) is grammatically incorrect and (ii) is ambiguous,B
"Let G be a group of order 6, arid H be a subgroup of G such that 1 following options is correct?","Both G and H may not be cyclic.

",Both G and H are always cyclic.,"G is always cyclic, but H may not be cyclic.","G may not be cyclic, but H is always cyclic.

",D
"There are five bags each containing identical sets of ten distinct chocolates. One
chocolate is picked from each bag.The probability that at least two chocolates are identical is ___________
",0.3024,0.4235,0.6976,0.8125,B
"Given below are two statements 1 and 2, and two conclusions I and II.Statement 1: All bacteria are microorganisms.Statement 2: All pathogens are microorganisms.Conclusion I: Some pathogens are bacteria.Conclusion II: All pathogens are not bacteria.Based on the above statements and conclusions, which one of the following
options is logically CORRECT?
",Only conclusion I is correct,Only conclusion II is correct,Either conclusion I or II is correct.,Neither conclusion I nor II is correct.,A
"Some people suggest anti-obesity measures (AOM) such as displaying calorie information in restaurant menus.Such measures sidestep addressing the core
problems that cause obesity: poverty and income inequality.Which one of the following statements summarizes the passage?
",The proposed AOM addresses the core problems that cause obesity.,"If obesity reduces, poverty will naturally reduce, since obesity causes poverty.",AOM are addressing the core problems and are likely to succeed., AOM are addressing the problem superficially,C
